date,strategy,benchmark_equal_weight,strategy_daily_return,benchmark_daily_return,turnover
2025-08-19,1.0,1.0803823439812932,0.0,-0.0032099054940488703,0.0
2025-08-20,1.0,1.0837658249335103,0.0,0.003131744026608818,0.0
2025-08-21,1.0,1.0824329661168155,0.0,-0.001229840234883317,0.0
2025-08-22,1.0,1.0941154263806738,0.0,0.010792779441824121,0.0
2025-08-25,1.0,1.1125551605671569,0.0,0.016853554699874318,0.0
2025-08-26,1.0,1.1089580504501757,0.0,-0.003233197098422902,0.0
2025-08-27,1.0,1.1007138016927456,0.0,-0.007434229594242406,0.0
2025-08-28,1.0,1.1099958927498508,0.0,0.008432792468696992,0.0
2025-08-29,1.0,1.1156009080654552,0.0,0.005049582031982816,0.0
2025-09-01,1.0,1.1228911661805892,0.0,0.006534826264865512,0.0
2025-09-02,1.0,1.115436119107371,0.0,-0.00663915372900821,0.0
2025-09-03,1.0,1.111918425965707,0.0,-0.0031536482290704104,0.0
2025-09-04,1.0,1.098405856596036,0.0,-0.012152482640923223,0.0
2025-09-05,1.0,1.1205019208696996,0.0,0.0201164843950664,0.0
2025-09-08,1.0,1.122840845525361,0.0,0.00208739013481192,0.0
2025-09-09,1.0,1.1209383794322858,0.0,-0.0016943328172080302,0.0
2025-09-10,1.0,1.125541927442004,0.0,0.0041068698281609695,0.0
2025-09-11,1.0,1.1416185542168686,0.0,0.014283454381305571,0.0
2025-09-12,1.0,1.1409806034582204,0.0,-0.0005588125353181844,0.0
2025-09-15,1.0,1.144107542116499,0.0,0.0027405712672076143,0.0
2025-09-16,1.0,1.1496982641792788,0.0,0.004886535449663637,0.0
2025-09-17,1.0,1.1598588252451456,0.0,0.008837589289673195,0.0
2025-09-18,1.0,1.1488109840620548,0.0,-0.009525160254529819,0.0
2025-09-19,1.0,1.1505229659435512,0.0,0.0014902206762012898,0.0
2025-09-22,1.0,1.1568235807774292,0.0,0.0054763051415586544,0.0
